company,date,description,location,title
APS Webtech,2023-01-30,"We are looking for a .Net developer to build software using languages and technologies of the .NET framework. You will create applications from scratch, configure existing systems and provide user support.",Permanent Remote,Dot Net Developer | APS Webtech | Remote Job
Jobs For Remote,2023-01-30,"Computer Data Operator/ Data Entry/ Back Office Executive/ Emails
9 Hours Shift
Saturday & Sunday alternate week wise fix Off
Part & Full Time Job
Freshers are Welcome
Maintaining the Data Excel, Worksheets.
Basic Typing","Temp. WFH - Kadapa/Cuddapah, Chandigarh, Hubli, Indore, Nagpur, Ambala",DATA Entry/Computer Operator/WORK FROM Home/Back Office/PART&FULL TIME
Agile Airport Services,2023-02-08,"Minimum 60% aggregates in 10th,12th and B Tech / AME . . Good communication skills",Permanent Remote,Associate JTO- PLM
Xceednet,2022-06-30,Experienced in configuring and maintaining MikroTik or similar Routers. . . . . . Preferable to have work Experience as network support in an ISP environment. . . . . . Creative and efficient problem solver. . . . . . Graduate or equivalent. . . . . . Good communication skill. . . . . . Preferably fluent in any South Indian or Bengali language,Mumbai,Technical Support Associate
Neovo Info Services,2023-02-15,"We are looking for freshers and experienced candidates for work from home
Excellent opportunity for Data entry/Computer Operator
Part time/Full time Jobs
No Target
Maintaining database on regular basis",Permanent Remote,Full/Part-time DATA Entry/ Work From Home / Computer Operator
Neovo Info Services,2023-02-19,"We are looking for freshers and experienced candidates for work from home
Excellent opportunity for Data entry/Computer Operator
Part time/Full time Jobs
No Target
Maintaining database on regular basis","Temp. WFH - Hyderabad/Secunderabad, Pune, Ahmedabad",DATA Entry/ Work From Home / Full/Part-time/Computer Operator
Neovo Info Services,2023-02-19,"We are looking for freshers and experienced candidates for work from home
Excellent opportunity for Data entry/Computer Operator
Part time/Full time Jobs
No Target
Maintaining database on regular basis","Temp. WFH - Kolkata, Chennai, Bangalore/Bengaluru","DATA Entry/ Work From Home / Full/Part-time/Computer Operator
"
Work From Anywhere,2023-01-12,"In order to succeed in this role,you must have significant experience troubleshooting hardware in a previous role or otherwise relevant experienceYour mission is to help our photobooth owners succeed with their hardware,which means youll need significant experience troubleshooting and investigating hardware related issuesExperience with photography is a plus!.",remote,Customer Experience - Technical and Hardware Support Representative
Careernet Technologies,2023-02-20,LOOKING FOR ONLY candidates from SaaS/ AI/ Fintech industry with US market experience for in 2yrs. . . . Years of ExperienceExperience selling Enterprise Software in the Customer Experience and Fintech domain. . is preferred. . .  5+ years of experience as an Account ExecutiveExperience -. . . Experience managing the sales cycle from business champion to C Level.,Permanent Remote,Account/ Sales/ Business Development (US Market) _  AI company_ remote
Team Plus Staffing Solution,2023-02-09,"Data Governance with Collibra and Data, BI/Analytics and Data Warehousing (ETL Tools & concepts).","Pune, Delhi / NCR, Mumbai (All Areas)",Collibra Engineer -Remote
GAO Tek,2023-02-13,"Virtual/remote IT tech support for sales, Amazon, Amazon sales, business development for a USA-based leading firm to sell its IT products to US customers. Potential with high pays.
Freshers are encouraged to apply.","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Fresher-Electronic System Presales Staff- Virtual/Remote
GAO Tek,2023-02-08,"Tasks:  Tech/Digital marketing/customer/business support, programming.
A USA firm offers part time & remote/virtual interns toMBA, M.Sc., M.Eng, university students, housewives, freshers. Benefits include 3 certificates & a job offer.","Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",Marketing Internship For Students- Virtual/Remote
Tata Chemicals,2022-03-24, . To maintain a clean operating area and observe GHK. . . . . . To carry out all other jobs related to the production function and act on work related instructions of seniors. . . . . . To maintain the required safety standards Preferred Skills :  . . . . . . ITI / ATS AOCP with exposure in production function,Remote,"Associate Officer 3 ,Pan India"
Jobs For Remote,2023-01-30,"Computer Data Operator/ Data Entry/ Back Office Executive/ Emails
9 Hours Shift
Saturday & Sunday alternate week wise fix Off
Part & Full Time Job
Freshers are Welcome
Maintaining the Data Excel, Worksheets.
Basic Typing","Temp. WFH - Madurai, Vijayawada, Guntur, Warangal, Mysore/Mysuru, Jaipur",DATA Entry/Computer Operator/WORK FROM Home/Back Office/PART&FULL TIME
Hirekeys Infotech,2023-02-09,"To succeed in this role,you should have a problem-solving attitude along with the ability to give clear technical instructionsYou should also be familiar with remote troubleshooting techniquesGuide employees with simple,step-by-step instructions,whenever required must have knowledge in networking: LAN/ WAN/ WLAN/ DHCP/ DNS . .",Noida,Desktop Support Engineer
CACTUS Communications,2023-02-20,"According to this Gallup poll,37% of US employees already telecommute (work from home) . . What you need:  . . A Bachelors / Masters/PhD degree in any sub-specialization of Materials Science or Chemistry","Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)","Editorial Reviewer, Materials Science and Chemistry (Work-from-Home)"
Xalted Information Systems,2023-02-06,"Proactive in reporting resolving,escalating issue where required",Permanent Remote,IT Support Engineer (PAN India) Remote Working
Teleperformance (TP),2023-02-18,Rotational Shift between 24*7 any 9 Hrs ShiftMust be okay with rotational shift Flexible shiftsMinimum i3 or AMD Ryzen_3 and more.  Processor Speed - Should be 0 GHz and more,"Noida, Kolkata, Mohali, Jamshedpur, Ahmedabad, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Permanent Work From Home - Voice Process
Perfect People Search,2023-02-21,"Looking for  Remote SEO/Content Writer to join our team. As a Remote SEO/Content Writer, you will be responsible for creating high-quality written content that aligns with our brand and engages our target audience.On-page SEO optimization knowledge is a must.
B2B/ SaaS setup in the international markets (preferably the US)
SEO and analytic tools like Ahrefs /Semrush, Search console, GA",Permanent Remote,"Remote SEO/ Content Writer
"
Ardem Data Services,2022-01-08,Education-Any Graduate+ Diploma / Degree in Law Proficient in Microsoft Office SuiteMinimum 1-year relevant work experienceImmediate Joiners can only applyLitigation support experience is a plus,Remote,Process Associate (Legal Data Entry Specialist)
Muthoot FinCorp (MFL),2023-02-15,  Maintain regular & continuous relationship with existing and potential customers    Achieve self-business targets and ensure profitability of the unit (branch)     Job Responsibilities:     Maintain regular & continuous relationship with existing and potential customers    Achieve self-business targets and ensure profitability of the unit (branch)    Ensure operational adherence as per Manual of Instructions and laid down policies and practices    Pan India ,Permanent Remote,CUSTOMER SERVICE EXECUTIVE
NCR Corporation,2023-01-17,"4 year technical degree or 3 year technical diploma preferred or equivalent experience Good English communication skills & telephony etiquettes . . Key Areas of Responsibility utilize support systems,tools,and experience to facilitate a customer solution",Mumbai,Remote Resolution Specialist
Miracle Software Systems,2022-04-28,     Need 7 Year total IT experience.   5 years of experience Salesforce Technical experience.   Salesforce CRM   Strong communication skills.   Strong in understanding of project variants.     ,remote,"Salesforce Technical Consultant,Pan India"
Dreamfoot,2023-02-03,Software Knowledge: Blender (MUST) . . Good hold on character and camera animation . Knowledge of basic principles of animation . . Should have a sound understanding of all aspects of the 3d production pipeline . . Must be able to troubleshoot any rig problems to achieve the desired animation REQUIRED INFORMATION TO APPLY FOR THIS JOB,Permanent Remote,3D Animator- Blender Only | Remote job
RCPC,2023-02-01,"As a work from home fashion designer,. . your job is to design clothing and accessories for a company.",Temp. WFH - Bangalore/Bengaluru,Fashion Designer WFH Remote
Malabar Group,2022-06-22,"   Greet and receive customers in a welcoming manner and engage with them to understand their requirements    Learn understand the sales procedures and acquire product knowledge    Be punctual in the work, strictly follow the code of conduct of the company and get familiar with personnel duties    Observe sales representatives and emulate their sales management processes to meet set targets    Help superiors in sales and follow their instructions    To proactively identify and assist the Sales executives and other managers to obtain real and sustained, continuous improvement, throughout the business and execute the same in a timely manner    Demonstrates models and Introduce various product offering to the customers and facilitate customer buying decision    Assist the customer when there is a sales return or repair work    Prepare the estimate of the products selected and complete the sales transaction    Achieve category wise sales target for the allocated section    Learn billing procedures    Learn about various model names, making charges, stone charges etc    Take initiative to learn the latest trends in the market        ",remote,Associate Trainee - Sales & Service
Jobs For Remote,2023-01-30,"Computer Data Operator/ Data Entry/ Back Office Executive/ Emails
9 Hours Shift
Saturday & Sunday alternate week wise fix Off
Part & Full Time Job
Freshers are Welcome
Maintaining the Data Excel, Worksheets.
Basic Typing","Temp. WFH - Kochi/Cochin, Cannanore/Kannur, Udupi, Tiruchirapalli/Trichy, Coimbatore, Trivandrum/Thiruvananthapuram",DATA Entry/Computer Operator/WORK FROM Home/Back Office/PART&FULL TIME
Jobs For Remote,2023-01-30,"Computer Data Operator/ Data Entry/ Back Office Executive/ Emails
9 Hours Shift
Saturday & Sunday alternate week wise fix Off
Freshers are Welcome
Maintaining the Data.
Employees are allowed to WORK FROM HOME/PART TIME/FULL TIME","Hybrid - Ludhiana, Bhopal, Pimpri-Chinchwad, Nasik/Nashik, Kalyan/Dombivli, West District",DATA Entry/Computer Operator/WORK FROM Home/Back Office/PART&FULL TIME
Unitedlex,2023-02-17,"Note :  One should not to be bound in any way or form by another company, especially by a non-competition clause. Overall Responsibilities:Work as a subject matter expert on Data Breach Analysis [DBA], review and management for US, UK and other jurisdiction clients for India Delivery centersIdentify/capture personal information within electronically-stored documents. Examples include:Personally Identifiable Information (PII)Personal Health Information (PHI)Payment Card Information (PCI)Ensure quality standards are achievedWork on client system through remote accessMaintains confidentiality of all organization and client informationKnowledge and Skills:Proven ability to build strong working relationships with colleagues and partner organizationsAbility to priorities between multiple complex projects/timelinesGood in written and Verbal communicationHigh level of positive attitudeResponsible to ensure accurate time trackingGood decision-making abilityAbility to adapt to any process changesKnowledge in Excel will be an added advantageStrong attention to detail and the ability to conduct root cause analysisCandidates with demonstrated experience in Data Breach Response, or Incident Response will be preferredKnowledge and hands-on experience in breach notification and privacy laws around data breach scenarios is desirable but not mustQUALIFICATION & EXEPERIENCE:Understanding of legal fundamentals, methods & proceduresBasic proficiency in the following MS office skills Outlook, Excel, Word, Power Point.Willingness to stretch and work on weekends to meet client deadlines.Any graduate/PostgraduateWORKING CONDITIONSReady to work between 7:00 am to 7:00 pm.Should have a Laptop/Desktop with good internet connectivity.Work Duration will be dependent on project requirement/availabilityAll specific company policies to apply without exceptionCompulsory adherence of ISO/IEC 27001: 2013 guidelines",Permanent Remote,Hourly Contract : Associate - Incident Response
Willis Towers Watson (WTW),2023-02-17,"Shift timings -1:30 pm- 10:30 pm . . 5 Days Working . Experience using and customizing Knowledge Modules (KM) . . Collaborating with and supporting the Functional Module Leads designing and supporting the technical team analysis,design,development and implementation of Oracle BI custom functionality. Experience with ODI 9 and above.","Hybrid - Mumbai, Mumbai Suburban, Thane, Navi Mumbai, Goregaon, Kopargaon, Bhayandar",Opening For OBIEE Developer -Mumbai (Hybrid/Remote)
IDFC FIRST Bank,2022-08-18,  Responsibilities:     Acquisition of Home Loan customers in the identified segment    Meet and exceed the defined targets of new customer acquisitions month on month by analysing transaction banking needs of the customer    Provide regular feedback to RM on opportunities and customer needs    Ensure adherence to selling norms and SOPs defined by the organization    Ensure strict compliance with internal guidelines and external regulations    Ensure quality sourcing in line with the Banks policy Managerial   ,Permanent Remote,Sales Manager-Home Loans LIG/MIG
HCLTech,2023-02-16,"Should have Good understanding of different ERP / BI tools e.g SAP,Power BI,Tablue,SAP HANACandidate profile . . . . MBA / CA/CWA with 5-10 years of relevant experience",Noida,Business Transformation Analyst (UK Shift) (Remote)
Sinmax Global Hardware,2023-02-14,Good communication skills both written and verbal,"Temp. WFH - Pune, Ahmedabad, Mumbai (All Areas)",Technical Support Executive / Technician
Trove Consulting,2023-02-20,"Hiring for Tech support Associate 
Good in English 
Should possess good knowledge on computer hardware troubleshooting Laptop, LAN, WAN & broadband mandatory
B Tech/BE degree/Diploma/ Electronics/BCA/Graduate
Voice/non voice
Salary upto 30000",Bangalore/Bengaluru,Technical Support Associate
Grant Thornton,2022-08-17,"    Roles Responsibilities:      Execute assigned tasks within the set-out deadlines with minimum supervision    Support the firm in its various initiatives    Guide a team of juniors on technical aspects of the job      Desired Profile:      Individual:     A Graduate/PG/MBA/CA with about 0-4 years of experience for the RR practice with key responsibilities of independently executing assigned tasks with minimum supervision. He/ She should be fairly versed with the IBC Code, regulations and relevant case laws and should have fair knowledge of businesses, processes and systems.       Skill-Set:     Behavioural:     Willingness and attitude to learn    Strong team player    Open to travel out of station for extended periods at a stretch    Ability to multi-task.    Good communication skills both written and verbal    Good analytical skills with a curious mindset    Ability to work within tight deadlines and under pressure with tough client conditions, which may require working for extended hours     Functional:     Knowledge of the IBC code, regulations and relevant case laws    Preparation of accounting statements and maintaining accounts on accrual and on cash basis    Fair ability to analyse financial statements/cash forecasts and conducting operational analysis    Assist seniors in setting processes and controls in payment authorisations    Reconciliation and verification of claims from various stakeholders    Assist the seniors in preparation of various reports and statements as required under the IBC code    Assist the seniors in preparation of presentations to bankers with respect to operational updates of the corporate debtor    Good business acumen and a knack to understand businesses and processes    Fairly versed with understanding of the relevant RBI / other regulatory guidelines    Advanced MS Office skills, Excel macros, Tally and SAP.     ",remote,Associate
Unitedlex,2023-01-23,"Roles and Responsibilities  Note : One should not to be bound in any way or form by another company, especially by a non-competition clause.Overall Responsibilities:Work as a subject matter expert on Data Breach Analysis [DBA], review and management for US, UK and other jurisdiction clients for India Delivery centersIdentify/capture personal information within electronically-stored documents. Examples include:Personally Identifiable Information (PII)Personal Health Information (PHI)Payment Card Information (PCI)Ensure quality standards are achievedWork on client system through remote accessMaintains confidentiality of all organization and client information  Knowledge and Skills:Proven ability to build strong working relationships with colleagues and partner organizationsAbility to priorities between multiple complex projects/timelinesGood in written and Verbal communicationHigh level of positive attitudeResponsible to ensure accurate time trackingGood decision-making abilityAbility to adapt to any process changesKnowledge in Excel will be an added advantageStrong attention to detail and the ability to conduct root cause analysisCandidates with demonstrated experience in Data Breach Response, or Incident Response will be preferredKnowledge and hands-on experience in breach notification and privacy laws around data breach scenarios is desirable but not must  QUALIFICATION & EXEPERIENCE:Understanding of legal fundamentals, methods & proceduresBasic proficiency in the following MS office skills Outlook, Excel, Word, Power Point.Willingness to stretch and work on weekends to meet client deadlines.Any graduate/Postgraduate  WORKING CONDITIONSReady to work anytime between 7:00 am to 7:00 pm.Should have a Laptop/Desktop with good internet connectivity.Work Duration will be dependent on project requirement/availabilityAll specific company policies to apply without exceptionCompulsory adherence of ISO/IEC 27001: 2013 guidelines ",Permanent Remote,Hourly Contract : Associate - Incident Response
Genpact,2023-02-18," . 1year experience in voice process is mandatory . . . . Articulates business concerns to Support Management. . Ability to absorb and apply new concepts in a timely manner. . Ability to apply knowledge to real world scenarios. . Ability to be flexible with regards to shifting priorities and projects. Experience using issue ticketing system such as SalesForce,Clarify,Remedy,or Footprints.",Hyderabad/Secunderabad,Genpact is Hiring For Technical voice process - Hyderabad.
Genpact,2023-02-18," . 1year experience in voice process is mandatory . . . . Articulates business concerns to Support Management. . Ability to absorb and apply new concepts in a timely manner. . Ability to apply knowledge to real world scenarios. . Ability to be flexible with regards to shifting priorities and projects. Experience using issue ticketing system such as SalesForce,Clarify,Remedy,or Footprints.",Hyderabad/Secunderabad,Technical voice process - Hyderabad
Kingone,2023-02-14,"We are looking for freshers and experienced candidates for work from home
Excellent opportunity @ Data entry/Computer Operator
Part time/Full time Jobs
No Target
Maintaining database on regular basis
Verify data and maintain accuracy of database","Temp. WFH - Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Part-Time Data Entry Computer Operator/Work@Home Jobs/Home Based Work
Kingone,2023-02-18,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Typing Work From Home | Part Time Data Entry Work | Computer Operator
Optimum Hiring Solutions,2023-02-18,We are looking for freshers and experienced candidates for work from home Part time / Full time Jobs Freshers are welcome Verify data and maintain accuracy of database GOOD KNOWLEDGE OF COMPUTER MUST HAVE LAPTOP OR SYSTEM MUST HAVE BASIC TYPING SPEED MUST HAVE TYPING ACCURACY,"Temp. WFH - Ahmedabad, Delhi / NCR, Mumbai (All Areas)",DATA Entry/part -full Time/work FROM Home/computer Operator/fresher
Amarpadma Finance & Co.,2023-02-15,"Urgently required Data Entry operator,Computer Operator
Computer/Laptop or Android phone is Compulsory 
Basic Typing Speed
Basic Computer knowledge 
Fresher are welcome 
No Target","Temp. WFH - Faridabad, Gurgaon/Gurugram, Delhi / NCR",DATA Entry/PART@FULL TIME/Computer Operator/WORK FROM Home/Back Office
Innovative Academy,2023-02-14,"Local Area Network infrastructure device (switches, routers, access points) support experience
Understanding of operating systems such as Windows and Apple X/iOS
Sound understanding of Microsoft operating systems and products (Windows 7)","Bangalore/Bengaluru, Hadapsar",Remote Support L2
Hackerrank,2023-02-20," . Good working knowledge of algorithms and data structures . . . . Attained a technical degree or experience with development or technical project work or internship experience Experience with Zendesk,JIRA,or similar ticketing systems . . . Experience working with applications developed in Java,.NET,Ruby,Python,PHP,Javascript,or another,general-purpose programming language",Permanent Remote,Technical Support Specialist
Samara It Systems,2023-02-14,Good communication skills both written and verbal,"Temp. WFH - Pune, Ahmedabad, Mumbai (All Areas)","Technical Support Executive , Technician"
Aptara,2023-02-14," . Qualification: Graduate or Post Graduate in Geo Sciences / GeologyGood knowledge in Georeferencing,Shape file creation,Geo-Tagging",Noida(Sector-60 Noida),Geologist
Aptara,2023-02-14,"Graduate or Post Graduate in Geography (Mandatory)With PG Diploma in Remote Sensing and GIS/ Masters in Remote Sensing and GIS/ Geo-informatics  Good knowledge in Georeferencing,Shape file creation,Geo-Tagging",Noida(Sector-60 Noida),GIS Executive
Arise Solutions,2023-02-06,"A Technical Support Specialist provides assistance to customers who are having technical problems with software, hardware, or other computer-related technologies.Specialists must have strong problem-solving skills, technical knowledge, and good communication skills. .Window ,linux, mac operating system ect. technical knowledge.",Ahmedabad,Technical Support Associate - @ahmedabad
CarDekho,2022-08-03,"Educational Qualifications:  . . Any graduation,. . Job Responsibilities:  . . . . Meet potential POSP agents in respective geographical assignmentsCandidate Attributes:  . . Graduation degree in any stream and have strong communication skillsSkills Required:  . . Agency Relationship Management,.",remote,Associate Relationship Manager
Applycup Hiring Solutions Llp,2022-12-27,"  Qualification   : BE, B.Tech, BCA, MCA, Bsc, ME Mtech   Experience   : 0 - 2 Years   Skills   : Software fresher s, Freshers, IT-Software / Software Services, Customer Service, Operations, Networking   Job Description   :     Who you are      As Technical Support Associate, you will be responsible to solve client issues in an effective and timely manner as prescribed Service Level Agreement (SLA). If you thrive in a dynamic, collaborative workplace, IBM provides an environment where challenged and inspired every single day. And if you relish the freedom to bring creative, thoughtful solutions to the table, theres no limit to what you can accomplish here. Join us and Do your Best Work Ever.      What will you do..     Be part of a team of technical experts, motivated by a desire to facilitate customers and be responsible for providing voice support.   Handle complex customer scenarios, documenting solutions, and effectively providing dependable and timely resolution to all product related technical issues experienced by customers   Provide remote infrastructure support delivery and performing problem cause analysis   Collaborate with fellow support colleagues and other internal organizations to provide superior customer service   Act as a customer advocate by working directly with customers on high priority issues to deliver timely resolution and capture customer feedback to influence process/product improvements.   Anticipate customer needs and effectively addressing concerns related to their issue or resolution   Provide direct technical assistance to customers via phone, email, and chat.   You will come with...   The ability to effectively handle difficult customer interactions and challenging customer problems without the need for supervisory intervention; maintains poise and professionalism even with very difficult and demanding customer.      How well help you grow:      Youll have access to all the technical and management training courses to grow your expertise.   Youll learn directly from expert developers in the field; our team leads love to mentor.   You have the opportunity to work in many different areas to determine what really excites you.         Candidate Profile   :      Minimum 0 to 2 years of experience in Technical Support role   Ensure that urgent customer issues are resolved in the most timely and effective manner possible.   Experience to work well in a fast-paced environment and demonstrable ability to handle various tasks or projects with changing priorities.   Utilize available time efficiently in order to achieve effective and efficient results   Demonstrate the ability to assemble a complete and accurate problem/symptom description of reported issues.   Proven knowledge to successfully solve problems and narrow down reported issues, identify root causes, and find creative solutions to effectively address customer concerns.   Knowledge in commercially standard software applications and major desktop operating systems.    ",Pune,Technical Support Associate
Kingone,2023-02-15,"We are looking for freshers and experienced candidates for work from home
Excellent opportunity @ Data entry

Freshers are welcome
Part time/Full time Jobs

Maintaining database on regular basis
Verify data and maintain accuracy of database","Temp. WFH - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Opportunity @Work From Home - Freshers Data Entry/Banking Chat Support
Centre for Effective Governance of Indian States (CEGIS)- CLOP,2023-01-28,"Bachelor s degree (Master s degree or equivalent preferred) in Economics,Public Policy,Social Science or related fields from a reputed institution 0 to 3 years work experience in India with organizations working in related fields of work i.e . . . . . . Education and Experience . . . . . . . . .",Bangalore/Bengaluru,Senior Program Associate/ Program Associate
Accenture,2023-02-16,"Please note that this role may require you to work in rotational shifts Skill required: IT Help desk - Customer Service Technology Support . In this role you are required to solve routine problems,largely through precedent and referral to general guidelines",Bangalore/Bengaluru,IT Customer Service New Associate-IT Help desk
Kingone,2023-02-20,"Urgently required Data Entry Operator,Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Data Entry Operator,Basic Typing Speed
Basic computer knowledge
No Target
No Time Boundation","Noida, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",Work from Home/Part-Time/Home Based Data Entry Operator
Vikalp Life Care,2023-02-21,"We are looking for Data Entry Operator
Any one can apply
Basic Computer Knowledge
Must Have Basic Typing Speed
No Work Pressure & No Time Foundation.
Full Time, Part Time","Hybrid - Noida, Gurgaon/Gurugram, Delhi / NCR",Data Entry/Computer Operator/Fresher/Work Form Home/Part-Full Time
Trevor Hiring Zone,2023-02-14,We are looking for freshers and experienced candidates for work from home Part time / Full time Jobs Freshers are welcome Verify data and maintain accuracy of database GOOD KNOWLEDGE OF COMPUTER MUST HAVE LAPTOP OR SYSTEM MUST HAVE BASIC TYPING SPEED MUST HAVE TYPING ACCURACY,"Temp. WFH - Ahmedabad, Delhi / NCR, Mumbai (All Areas)",Work From Home I Data Entry Operator I Back Office
Honeywell India Limited,2023-02-17,Good Co-ordinating Skills Candidate should be pleasant & hard workingCandidate living in nearby places preferred.  . . . Job Benefits & Perks  Good Communication Skills ( written and verbal ),Mumbai(Prabhadevi +1),Data Entry Operator/Office Assistant
Kingone,2023-02-11,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
Full /Part-Time Jobs","Temp. WFH - Noida, Madurai, Mohali, Vijayawada, Chandigarh, Visakhapatnam, Guntur, Mysore/Mysuru, Gurgaon/Gurugram",DATA Entry/PART@FULL TIME/Computer Operator/WORK FROM Home/back office
Resilience Innovation Knowledge Academy,2023-02-09,The intern is required to present the problem statement and propose and innovative idea . . He/ she should be willing to work with an interdisciplinary team to mature the idea to prototype stage Preferred qualifications,Permanent Remote,Intern
Wipro,2023-02-15,"Candidates must be comfortable with night shiftsCandidates should be fresher  Educational Qualification: B.COM,BA,BSC,BBA,M.COM,MSC& MA (NOTE: BTECH,BCA,MBA,LLB,B.PHARMA & BSC (IT) not eligible) Candidates must be comfortable with work from office. . . Candidate should be fully vaccinated. . .",Hyderabad/Secunderabad,Wipro HYDERABAD HIRING HR ANINDRITA
Capital Recruitment Services,2023-02-17,"•	Strong knowledge on Devops tools like GIT, Jenkins, Docker, Kubernetes, SonarQube, Ansible and Terraform.
•	Experience on Cloud services – IaaS / PaaS.
•	Well versed with any scripting language – Shell / Groovy / Python.•	Strong experience on Infrastructure Automation.

Interested candidates kindly share cv's at balajicrs01@gmail.comWork From Home","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Work form Home remote job Hiring Senior Devops Engineer
Trove Consulting,2023-01-28,Roles and Responsibilities . . TECHNICAL SUPPORT OPENINGS. . ONLY GRADUATE OR DIPLOMA. . BANGALORE. . WORK FROM OFFICE.,Bangalore/Bengaluru,Technical Support Associate
Softcon Business Solutions,2023-02-14,"Education:(UG - Any Graduate - Any Specialization,Diploma - Computers,BSc - Computers,BTech / BE - Computers,BCA - Computers) AND (PG- Post Graduation Not Required) AND (Doctorate- Any Doctorate - Any Specialization,Doctorate Not Required) Graduate In Commerce Or Science,BSC IT,BCA,Diploma In Computer EngBTech / BE,MSC,PG Doctorate Not Required. . . . # SKILL-","Thane, Navi Mumbai, Mumbai (All Areas)",Application Support Executive
Centre for Effective Governance of Indian States (CEGIS)- CLOP,2023-01-28,"Bachelor s degree (Master s degree or equivalent preferred) in Economics,Public Policy,Social Science or related fields from a reputed institution . . . . . . 0 to 3 years work experience in India with organizations working in related fields of work i.eRequired Qualifications,Skills and Abilities . . . . . . . . . . Education and Experience . . . . . . .",Hyderabad/Secunderabad,Program Associate
Revival Info Solution,2023-02-10,"We are looking for Data Entry Operator
Any one can apply
Basic Computer Knowledge
Must Have Basic Typing Speed
Full Time and Part Time
Should be comfortable to work in day Flexible shifts
basic English speakingMS Word, MS Excel knowledge
Data Entry
immediate joining
Basic Knowledge Of Data Entry
excel work
basic computer knowledge
verifying data in excel sheet","Temp. WFH - Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",Work from Home data entry/part-full time/backend/computer operator
Vikalp Life Care,2023-02-21,"Urgently required Data Entry Operator, Computer Operator
Computer / Laptop Or Android Phone Is Compulsory.
Basic Computer Knowledge.
Freshers are Welcome
No Target
No Work Pressure
Full /Part-Time Jobs","Temp. WFH - Noida, Faridabad, Delhi / NCR",Typing Work From Home | Part Time Data Entry Work | Computer Operator
Vikalp Life Care,2023-02-21,"Urgently required Data Entry operator, computer Operator
Computer / Laptop or Android phone is Compulsory.
Basic Computer knowledge.
Fresher are welcome
No Target
No Work pressure
Full/Part-Time jobs","Hybrid - Noida, Gurgaon/Gurugram, Delhi / NCR",Full/Part-Time Data Entry Executive Work From Home/ Computer Operator
Unisys,2022-11-28,"Willingness and ability to work in shifts (24 x 7)Good Knowledge on Operating Systems,Hardware,Networking and MS ApplicationsWell versed with technology (understanding of networks,monitoring,DBMS,Windows)Good knowledge of Microsoft Office Suite (Word,Excel,Outlook etc)",Hyderabad/Secunderabad,Service Desk Associate (International Voice Support)
Perfect People Search,2023-02-09,"Looking for Back end Developer to work on a hybrid cloud SaaS platform from India remotely.Must Have
Development in a Linux environment
NodeJs/Javascript 
ExpressJs/REST API development
MongoDB/Mongoose 
Redis",Permanent Remote,Remote Back end Developer ( Node Js)
3i Infotech,2023-02-13,"Experience in troubleshooting, OS installation, configuration,LAN configuration, outlook configuration, printer troubleshooting ,remote support","Mumbai, Mumbai Suburban, Navi Mumbai",Remote Desktop Support Engineer
Highradius,2023-02-10,"Our customers include 3M,Unilever,Anheuser-Busch InBev,Sanofi,Kellogg Company,Danone,Hershey s and many more.  . . . We at HighRadius firmly believe that a product is only as good as the people behind itShould have experience to remote support end users.  . Good experience in endpoint management systems like Mange Engine.",Hyderabad/Secunderabad,System Engineer -Infra Internal IMS
Smart4talent,2020-12-24,Adept at technology to troubleshoot and ensure smooth online class experienceOwnership for the team mission to create a 5-Star experience for every customer,Mumbai,Executive - Technical Support
